Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-01T00:00+01:00;2022-11-02T00:00+01:00;2022-11-01;1;2002;100,0;24;24;0;0;100,00;1920;82;46;10;11;15;15;0
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-01T00:00+01:00;2022-11-02T00:00+01:00;2022-11-01;2;4653;100,0;24;24;0;811;82,57;3031;811;181;253;125;252;226;26
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-01T00:00+01:00;2022-11-02T00:00+01:00;2022-11-01;3;5911;100,0;24;24;0;3;99,95;4749;1159;196;314;267;382;375;7
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-01T00:00+01:00;2022-11-02T00:00+01:00;2022-11-01;4;1582;100,0;24;24;0;2;99,87;1260;320;19;67;91;143;143;0
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-01T00:00+01:00;2022-11-02T00:00+01:00;2022-11-01;Totalt i retning Mastemyr;8367;100,0;24;24;0;344;95,89;6699;1324;254;358;291;421;404;17
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-01T00:00+01:00;2022-11-02T00:00+01:00;2022-11-01;Totalt i retning Oslo;5781;100,0;24;24;0;472;91,84;4261;1048;188;286;203;371;355;16
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-01T00:00+01:00;2022-11-02T00:00+01:00;2022-11-01;Totalt;14148;100,0;24;24;0;816;94,23;10960;2372;442;644;494;792;759;33
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-02T00:00+01:00;2022-11-03T00:00+01:00;2022-11-02;1;2275;100,0;24;24;0;1;99,96;2150;124;60;33;16;15;15;0
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-02T00:00+01:00;2022-11-03T00:00+01:00;2022-11-02;2;6287;100,0;24;24;0;206;96,72;5188;893;225;267;139;262;258;4
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-02T00:00+01:00;2022-11-03T00:00+01:00;2022-11-02;3;5896;100,0;24;24;0;1;99,98;4639;1256;240;341;264;411;404;7
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-02T00:00+01:00;2022-11-03T00:00+01:00;2022-11-02;4;1122;100,0;24;24;0;0;100,00;815;307;18;55;90;144;144;0
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-02T00:00+01:00;2022-11-03T00:00+01:00;2022-11-02;Totalt i retning Mastemyr;8255;100,0;24;24;0;66;99,20;6792;1397;304;383;281;429;422;7
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-02T00:00+01:00;2022-11-03T00:00+01:00;2022-11-02;Totalt i retning Oslo;7325;100,0;24;24;0;142;98,06;6000;1183;239;313;228;403;399;4
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-02T00:00+01:00;2022-11-03T00:00+01:00;2022-11-02;Totalt;15580;100,0;24;24;0;208;98,66;12792;2580;543;696;509;832;821;11
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-03T00:00+01:00;2022-11-04T00:00+01:00;2022-11-03;1;2076;100,0;24;24;0;0;100,00;1953;123;62;31;22;8;8;0
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-03T00:00+01:00;2022-11-04T00:00+01:00;2022-11-03;2;7731;100,0;24;24;0;3;99,96;6621;1107;260;331;162;354;350;4
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-03T00:00+01:00;2022-11-04T00:00+01:00;2022-11-03;3;5849;100,0;24;24;0;2;99,97;4740;1107;193;314;237;363;359;4
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-03T00:00+01:00;2022-11-04T00:00+01:00;2022-11-03;4;999;100,0;24;24;0;1;99,90;703;295;20;61;76;138;138;0
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-03T00:00+01:00;2022-11-04T00:00+01:00;2022-11-03;Totalt i retning Mastemyr;7926;100,0;24;24;0;2;99,97;6693;1231;255;346;259;371;367;4
18089V625292;MOSSEV V/FISKEV 1,2,3,4;EV18 S56D1 m7072;2022-11-03T00:00+01:00;2022-11-04T00:00+01:00;2022-11-03;Totalt i retning Oslo;8729;100,0;24;24;0;4;99,95;7324;1401;280;391;238;492;488;4
