Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;1;1596;100,0;24;24;0;0;100,00;1582;14;12;2;0;0;0;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;3;6670;100,0;24;24;0;0;100,00;6520;150;46;87;1;16;16;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt i retning Lysaker;0;100,0;24;24;0;0;100,00;0;0;0;0;0;0;0;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt i retning Oslo Grense;8266;100,0;24;24;0;0;100,00;8102;164;58;89;1;16;16;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;2022-01-01;Totalt;8266;100,0;24;24;0;0;100,00;8102;164;58;89;1;16;16;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;1;2232;100,0;24;24;0;0;100,00;2211;21;11;10;0;0;0;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;3;7954;100,0;24;24;0;1;99,99;7720;233;91;102;6;34;34;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt i retning Lysaker;0;100,0;24;24;0;0;100,00;0;0;0;0;0;0;0;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt i retning Oslo Grense;10186;100,0;24;24;0;1;99,99;9931;254;102;112;6;34;34;0
13658V2659403;Granfosstunnelen Mot Oslo;RV150 S3D1 m1781;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;2022-01-02;Totalt;10186;100,0;24;24;0;1;99,99;9931;254;102;112;6;34;34;0
